id_pekerjaan,jenis_pekerjaan,spesifikasi_teknis,satuan,harga_satuan,cabang_itb,kategori_I,kategori_II
BO-007,Bongkar Pintu/Jendela (Kayu/Besi/Alumunium/PVC),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",unit,25400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-008,Bongkar Dinding Batu Bata ,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,19100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-009,Bongkar Dinding Partisi ,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,10300,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-010,Bongkar Lapisan Plesteran (Chipping),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,10200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-011,Bongkar Lampu dengan Instalasi ,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",titik,21100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-012,Bongkar Lampu tanpa Instalasi,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",titik,7200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-013,Bongkar Oulet daya/UTP/IP dengan Instalasi ,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",titik,21100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-014,Bongkar dudukan proyektor/infocus,"Pembongkaran dilakukan secara hati-hati, dudukan infocus dibongkar, kerusakan menjadi tanggung jawab kontraktor. Bongkaran diserahkan kepada pengawas",set,15400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-015,Bongkar AC wall mounted,"Pembongkaran dilakukan secara hati-hati, Unit indoor dan outdoor AC dibongkar, kerusakan menjadi tanggung jawab kontraktor. Bongkaran diserahkan kepada pengawas",unit,101200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-016,Bongkar AC Ceiling cassete,"Pembongkaran dilakukan secara hati-hati, Unit indoor dan outdoor AC dibongkar, kerusakan menjadi tanggung jawab kontraktor. Bongkaran diserahkan kepada pengawas",unit,219800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-017,Bongkar Washtafel,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",unit,33600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-018,Bongkar Alat Sanitasi,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",unit,33800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-019,Bongkar Beton bertulang,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m3,990000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-020,Bongkar Beton dengan mesin Boring,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m3,1802400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-021,Bongkar Lisplang,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m1,12400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-022,Bongkar Talang datar dibawah 6 meter,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,18600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-023,Bongkar talang datar di atas 6 meter,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,29900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-024,Bongkar Bubungan/atap tumpang sari di bawah 6m,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,19900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-025,Bongkar Atap Sirap,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,24500,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-026,Bongkar Atap Metal Sheet/seng,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,31900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-027,Bongkar Atap Genteng/UPVC/polycarbonate,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,16000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-028,Bongkar Batu Kali ,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m3,59100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-029,Bongkar Saluran drainase,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m1,12200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-030,Bongkar saluran/talang vertikal Pipa PVC,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,5400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-031,Bongkar saluran/talang vertikal Pipa Galvanis ,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,5400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-032,Bongkar Paving Block/Grass Block,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,9000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-033,Bongkar Batu Sikat+spesi,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,11700,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-034,Bongkar Aspal,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,25200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-035,Bongkar Lapis HPL,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,15500,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-036,Bongkar kusen (Kayu/Alumunium/PVC),"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,25200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-037,bongkar exhaust fan dengan instalasi,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran diserahkan ke pengawas/user",unit,17500,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-038,bongkar lantai vinil,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,10300,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-039,Bongkar Plafond Akustik dengan rangka,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,22000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-040,Bongkar Stop kontak,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",ttk,5000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-041,Bongkar Saklar,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",ttk,5000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-042,Bongkar plint kayu/keramik,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,10500,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-043,Bongkar karpet termasuk underlayer,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,4100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-044,Bongkar Kanstin,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m1,10300,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-045,Bongkar Reng,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m1,12100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-046,"Bongkar tralis (range 0,3m2 - 2,5m2)","Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",bh,17600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-047,Bongkar outdoor AC,"Pembongkaran dilakukan secara hati-hati, Unit outdoor AC dibongkar, kerusakan menjadi tanggung jawab kontraktor. Karena akan di pasang kan kembali",unit,67200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-048,Bongkar Rangka atap kanopi,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,17900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-049,Bongkar Kaca,"Bongkaran kaca dilakukan secara hati-hati, karena akan di pasang kembali.",m2,17800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-050,Bongkar Vinyl,"Pembongkaran dilakukan secara hati-hati, rapih, berikut pembersihan lem eksisting",m2,12100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-051,Bongkaran Jalusi / louvre Kayu lab konversi,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",unit,498600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-052,Bongkar Cermin,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,17100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-053,Bongkar Tutup Lemari,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",bh,11700,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-054,Pek. Bongkaran Waterproofing Membran Bakar eksisting,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,11100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-055,Bongkar Papan Pengumuman Eksisting,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",bh,59700,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-056,Bongkar papan Ruiter,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m',38100,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-057,Bongkar + Pasang kembali penangkal petir eksisting ,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m',84400,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-058,Bongkar Beton tanpa tulangan (manual),"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m3,531800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-059,Bongkar Railling,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m',10200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-060,Bongkar Plat Bordes,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,35800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-061,Bongkar Lantai Parket,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",m2,14000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-062,Bongkar Sink,"Pembongkaran dilakukan secara hati-hati, rapih, hasil bongkaran dikoordinasikan dengan pengawas/user",unit,57700,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-063,Bongkar Plang rambu,"Bongkar tiang berikut plang jangan sampai rusak, jika terdapat kerusakan menjadi tanggung jawab rekanan untuk mengganti, ",unit,38800,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-064,Bongkar plafon akustik tanpa rangka,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m2,11600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-065,Bongkar + Pasang kembali smoke detector tanpa instalasi,"Pasang Kembali alarm kebakaran eksisting, kerusakan saat pemasangan menjadi tanggung jawab penyedia",titik,28700,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-066,Bongkar Door Closer,"Pembongkaran dilakukan secara hati-hati, rapih, bekas bongkaran diserahkan ke pengawas/user.",bh,14000,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-067,Bongkar rel pintu geser,"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",set,40200,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-068,Bongkar Kolom Kayu (5-15cm),"Pembongkaran dilakukan secara hati-hati, rapih, dibuang ke area luar lingkungan kampus ITB dan terlebih dahulu dikoordinasikan dengan pengawas/user",m1,11900,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
BO-069,Bongkar Trei kabel,Trei kabel di bongkar dengan hati - hati karena akan di pasangkan kembali,m1,13600,Cirebon,Persiapan dan Bongkaran,Pekerjaan Bongkaran
PK-001,Pasang Kembali Lampu/saklar eksisting berikut instalasi,"Pasang Kembali titik lampu eksisting, menggunakan kabel baru 2x1,5mm supreme, kerusakan saat pemasangan menjadi tanggung jawab penyedia",titik,71500,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-002,Pasang Kembali Stop Kontak eksisting berikut instalasi,"Pasang Kembali titik stop kontak eksisting, menggunakan kabel baru 3x2,5mm supreme, kerusakan saat pemasangan menjadi tanggung jawab penyedia",titik,71500,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-003,Pasang Kembali Panel ,"Pasang Kembali Panel berikut dengan instalasi, kerusakan menjadi tanggung jawab penyedia",unit,337000,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-004,Pasang Pintu/Jendela Eksisting,"Pasang Kembali Pintu/jendela Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",unit,78400,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-005,Pasang Kembali Washtafel meja/dinding,"Pasang Kembali Washtafel Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",unit,111400,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-006,Pasang Kembali Kloset/urinoir,"Pasang Kembali Kloset/Urinoir Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",unit,123800,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-007,Pasang kembali karpet lantai,"Pasang Kembali karpet Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,11400,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-008,Pasang kembali pavingblock/grassblock,"Pasang Kembali Paving blok/grass block eksisting termasuk abu batu dengan pemadatan, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,19600,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-009,Pasang Kembali Plafond Akustik,"Pasang Kembali plafond eksisting, kerusakan saat pemasangan menjadi tanggung jawab penyedia",lbr,9100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-010,Pasang Kembali Penutup Atap seng/polycarbonat Eksisting,"Pasang Kembali Atap Seng/Policarbonat eksisting, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,17100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-011,Pasang Kembali Penutup Atap Genteng/UPVC Eksisting,"Pasang Kembali Atap Genteng/UPVC eksisting, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,22700,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-012,Pasang kembali outdoor AC,"Pemasangan dilakukan secara hati-hati, kerusakan menjadi tanggung jawab kontraktor. ",unit,67700,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-013,Pekerjaan Bongkar+Pasang Pagar Precast,Pagar precast existing di bongkar dan di pasang kembali dalam keadaan rapih,m',119200,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-014,Pasang Kembali Kaca,"Pasang Kembali kaca Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,26100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-015,Pasang kembali kusen exsisting,"Pasang Kembali kusen Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m',15200,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-016,Pasang kembali Kusen alumunium,"Pasang kembali Kusen alumunium dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m',18400,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-017,Pasang kembali rangka partisi exsisting,"Pasang Kembali rangka partisi Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,90200,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-018,Pasang kembali batu border,"Pasang kembali batu border dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m',12500,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-019,Pasang kembali atap sirap asbes,"Pasang kembali atap sirap asbes dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,51600,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-020,Pasang Kembali Stop Kontak lantai eksisting tanpa instalasi,"Pasang Kembali titik stop kontak lantai eksisting tanpa instalasi, kerusakan saat pemasangan menjadi tanggung jawab penyedia",titik,18100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-021,Pasang Kembali Kran,"Pasang Kembali Kran Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia, termasuk dengan aksesoris pemasangan dan bobokan/perapihan bila di perlukan",bh,6000,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-022,Pasang Kembali Floordrain,"Pasang Kembali Floordrain Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",bh,24700,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-023,Pasang Kembali Sekat urinoir,"Pasang Kembali Sekat Urinoir Eksisting dengan rapih, kerusakan saat pemasangan menjadi tanggung jawab penyedia",set,39100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-024,Pasang kembali panel ceiling metal linier eksisting,"Pasang Kembali Ceiling Panel metal linier existing, kerusakan menjadi tanggung jawab penyedia,termasuk alat bantu pemasangan berupa scafolding atau steger bambu",m2,82300,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-025,Pasang kembali tong sampah,Pasang kembali tong sampah dengan menggunakan campuran beton 1 pc : 2 pasir beton : 3 split.,unit,131900,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-026,Pek. Pasang kembali plang Rambu,"Plang Rambu di pasang kembali rapih, kerusakan menjadi tanggung jawab penyedia",unit,59800,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-027,Pasang Kembali Lantai Parket,"Pasang Kembali lantai parket, kerusakan saat pemasangan menjadi tanggung jawab penyedia",m2,15500,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-028,Pasangan Plafond Existing Sunda Plafond,"Pasang Plafond Existing di pasang kembali, kerusakan menjadi tanggung jawab penyedia",m2,14500,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-029,Pasang kembali dinding MDF,Pasang kembali dinding MDF tebal 9 mm 1 muka,m2,50700,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-030,Pasang kembali HPL Eksisting,Pasang kembali HPL Eksisting,m2,63600,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-031,Pasang kembali Lampu tanpa instalasi,"Pasang Kembali titik lampu eksisting, kerusakan saat pemasangan menjadi tanggung jawab penyedia",titik,6100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-032,Pasang kembali dinding batu templek eksisting,Pasang dinding batu templek eksisting berikut dengan plesteran/perekat.,m2,130100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-033,Pasang kembali Kuda-Kuda eksisting,"Pasang Kembali Kuda-kuda eksisting berikut dengan aksesoris pemasangan, kerusakan menjadi tanggung jawab penyedia",m2,9900,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-034,Pasang Kembali Gording eksisting,"Pasang Kembali Gording eksisting berikut dengan aksesoris pemasangan, kerusakan menjadi tanggung jawab penyedia",m1,7100,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-035,Pasang kembali lisplang eksisting dibawah 6m,"Pasang Kembali Lisplang eksisting berikut dengan aksesoris pemasangan, kerusakan menjadi tanggung jawab penyedia",m1,32900,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-036,Pasang kembali kolom batu eksisting+siar,Pasang kembali kolom batu menggunakan batu existing,m3,324600,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PK-037,Pasang kembali rangka atap eksisting,pasang kembali rangka atap eksisting termasuk modifikasi untuk menyesuaikan dengan ukuran dan bentuk yang telah direncanakan,m2,108000,Cirebon,Persiapan dan Bongkaran,Pemasangan Kembali
PP-001,Pembersihan Keramik toilet/kamar mandi,"Pekerjaan pembersihan keramik dinding dan lantai kamar mandi, sampai bersih kembali dengan menggunakan porstex.",m2,20000,Cirebon,Persiapan dan Bongkaran,Pembersihan dan Pembuangan
PP-002,Pasang pembersihan kaca,Pemberihan kaca dengan cairan khusus,m2,15500,Cirebon,Persiapan dan Bongkaran,Pembersihan dan Pembuangan
